_model_name,_model_temperature,_model_top_p,_elo_match_competitor_a,_elo_match_competitor_b,_elo_match_winner,_elo_match_draw,_elo_match_wins_a,_elo_match_wins_b
gpt-4.1,1.0,1.0,Albert Einstein,Marie Curie,Albert Einstein,False,1,0
gpt-4.1,1.0,1.0,Kylie Jenner,Snoop Dogg,Snoop Dogg,False,0,2
gpt-4.1,1.0,1.0,Isaac Newton,Richard Feynman,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Bill Gates,Justin Bieber,Bill Gates,False,2,0
gpt-4.1,1.0,1.0,Donald Trump,George W. Bush,George W. Bush,False,0,2
gpt-4.1,1.0,1.0,Stephen Hawking,Paris Hilton,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Barack Obama,Emmanuel Macron,Barack Obama,False,2,0
gpt-4.1,1.0,1.0,Abraham Lincoln,Vladimir Putin,Abraham Lincoln,False,2,0
gpt-4.1,1.0,1.0,Kim Kardashian,Kanye West,Kim Kardashian,False,2,0
gpt-4.1,1.0,1.0,Albert Einstein,Richard Feynman,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Kanye West,Kylie Jenner,Kanye West,False,2,0
gpt-4.1,1.0,1.0,Bill Gates,Charles Darwin,Charles Darwin,False,0,2
gpt-4.1,1.0,1.0,Isaac Newton,Marie Curie,Isaac Newton,False,1,0
gpt-4.1,1.0,1.0,Logan Paul,Elon Musk,Elon Musk,False,0,2
gpt-4.1,1.0,1.0,Paris Hilton,Snoop Dogg,Snoop Dogg,False,0,2
gpt-4.1,1.0,1.0,Stephen Hawking,Justin Bieber,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Abraham Lincoln,Nikola Tesla,Nikola Tesla,False,0,2
gpt-4.1,1.0,1.0,George W. Bush,Emmanuel Macron,Emmanuel Macron,False,0,2
gpt-4.1,1.0,1.0,Charles Darwin,Marie Curie,Marie Curie,False,0,2
gpt-4.1,1.0,1.0,Abraham Lincoln,Bill Gates,Bill Gates,False,0,2
gpt-4.1,1.0,1.0,Albert Einstein,Stephen Hawking,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,Kim Kardashian,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4.1,1.0,1.0,Paris Hilton,Kanye West,Kanye West,False,0,2
gpt-4.1,1.0,1.0,Elon Musk,Emmanuel Macron,Elon Musk,False,2,0
gpt-4.1,1.0,1.0,Barack Obama,Joe Biden,Barack Obama,False,2,0
gpt-4.1,1.0,1.0,Donald Trump,Xi Jinping,Xi Jinping,False,0,1
gpt-4.1,1.0,1.0,Marie Curie,Richard Feynman,Marie Curie,False,1,0
gpt-4.1,1.0,1.0,Abraham Lincoln,Elon Musk,Elon Musk,False,0,2
gpt-4.1,1.0,1.0,Kanye West,Snoop Dogg,Kanye West,False,1,0
gpt-4.1,1.0,1.0,Bill Gates,Emmanuel Macron,Bill Gates,False,2,0
gpt-4.1,1.0,1.0,Kim Kardashian,Joe Biden,Joe Biden,False,0,2
gpt-4.1,1.0,1.0,Stephen Hawking,Logan Paul,Stephen Hawking,False,2,0
gpt-4.1,1.0,1.0,Donald Trump,Vladimir Putin,Vladimir Putin,False,0,2
gpt-4.1,1.0,1.0,Isaac Newton,Nikola Tesla,Isaac Newton,False,2,0
gpt-4.1,1.0,1.0,Albert Einstein,Charles Darwin,Albert Einstein,False,2,0
gpt-4.1,1.0,1.0,George W. Bush,Xi Jinping,Xi Jinping,False,0,2
gpt-4.1,1.0,1.0,Justin Bieber,Britney Spears,Britney Spears,False,0,1
